Id;Nom_Fichier;Site_Web;Date_Creation;Date_Modification;Date_ingestion;Taille_Fichier
1;.DS_Store;2023-04-18 21:00:36;2023-04-15 13:59:03;2023-04-30 20:46:44;6148 KO
2;13546-INFO-EMP-LINKEDIN-FR-1599984246.html;LINKEDIN;2023-04-18 21:00:38;2023-04-30 17:27:29;2023-04-30 20:46:44;155445 KO
3;13547-INFO-EMP-LINKEDIN-FR-1519694389.html;LINKEDIN;2023-04-18 21:00:36;2023-04-30 17:27:29;2023-04-30 20:46:44;130062 KO
4;13548-INFO-EMP-LINKEDIN-FR-1638675310.html;LINKEDIN;2023-04-18 21:00:38;2023-04-30 17:27:29;2023-04-30 20:46:44;151526 KO
5;13549-INFO-EMP-LINKEDIN-FR-1638763250.html;LINKEDIN;2023-04-18 21:00:37;2023-04-30 17:27:29;2023-04-30 20:46:44;153901 KO
6;13550-INFO-EMP-LINKEDIN-FR-1573133460.html;LINKEDIN;2023-04-18 21:00:37;2023-04-30 17:27:29;2023-04-30 20:46:44;135621 KO
7;13551-INFO-EMP-LINKEDIN-FR-1602929951.html;LINKEDIN;2023-04-18 21:00:37;2023-04-30 17:27:29;2023-04-30 20:46:44;120828 KO
8;13552-INFO-EMP-LINKEDIN-FR-1599166885.html;LINKEDIN;2023-04-18 21:00:37;2023-04-30 17:27:29;2023-04-30 20:46:44;86803 KO
9;13553-INFO-EMP-LINKEDIN-FR-1566950259.html;LINKEDIN;2023-04-18 21:00:37;2023-04-30 17:27:29;2023-04-30 20:46:44;211491 KO
10;13554-INFO-EMP-LINKEDIN-FR-1634138009.html;LINKEDIN;2023-04-18 21:00:36;2023-04-30 17:27:29;2023-04-30 20:46:44;117960 KO
11;13555-INFO-EMP-LINKEDIN-FR-1602837931.html;LINKEDIN;2023-04-18 21:00:38;2023-04-30 17:27:29;2023-04-30 20:46:44;179989 KO
12;13556-INFO-EMP-LINKEDIN-FR-1637899355.html;LINKEDIN;2023-04-18 21:00:37;2023-04-30 17:27:29;2023-04-30 20:46:44;144672 KO
